title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90,80
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
The 100,NR,This movie has not been rated.,124,2016,97,80
Marvel's Iron Fist,TV-MA,,110,2017,98,80
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90,80
Ingobernable,TV-MA,,110,2017,96,80
Zootopia,PG,some thematic elements, rude humor and action,60,2016,97,80
Meet the Blacks,R,pervasive language, some sexual material, violence and drug use,100,2016,79,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
Sausage Party,R,strong crude sexual content, pervasive language, and drug use,100,2016,91,80
Pete's Dragon,PG,for action, peril and brief language,60,2016,93,80
Kevin Hart: What Now?,R,some sexual material, and language throughout,100,2016,97,80
Girlboss,TV-MA,,110,2017,94,80
The Discovery,TV-MA,,110,2017,NA,82
Sand Castle,TV-MA,,110,2017,89,80
Sandy Wexler,TV-14,,90,2017,92,80
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
Cheer Squad,TV-PG,,70,2016,61,80
